Model,Final Asset ($),ROI (%),Total Reward,Num Trades
GoldenCross,88372.83789099129,-11.627162109008715,,13.0
PPO,104025.93816824345,4.025938168243447,-39.55299124792127,10.0
A2C,104025.93816824345,4.025938168243447,-39.55299124792127,10.0
DQN,118409.65381234745,18.409653812347447,-33.5019931284771,14.0
